Date,Value
2023-12-24,47085542823
2023-12-25,47436478144
2023-12-26,47734721136
2023-12-27,48077303921
2023-12-28,48403150944
2023-12-29,48717728156
2023-12-30,48994914242
2023-12-31,49285789303
2024-01-01,49523538295
2024-01-02,49712421584
2024-01-03,49941522288
2024-01-04,50167334031
2024-01-05,50374727630
2024-01-06,50558156255
2024-01-07,50737076854
2024-01-08,50953083175
2024-01-09,51207837547
2024-01-10,51404176570
2024-01-11,51649231871
2024-01-12,51813386616
2024-01-13,51952185143
2024-01-14,52087468217
2024-01-15,52363615778
2024-01-16,52647459159
2024-01-17,53437746559
2024-01-18,53706262716
2024-01-19,53974909633
2024-01-20,54407778513
2024-01-21,54821065489
2024-01-22,55191064476
2024-01-23,55465605039
2024-01-24,55761811106
2024-01-25,56046684294
2024-01-26,56348179185
2024-01-27,56611590839
2024-01-28,56862312940
2024-01-29,57731712062
2024-01-30,58000507633
2024-01-31,58331285818
2024-02-01,58806155444
2024-02-02,59079642910
2024-02-03,59303619155
2024-02-04,59531905206
2024-02-05,59814569748
2024-02-06,60065647228
2024-02-07,60364708063
2024-02-08,60662958892
2024-02-09,60936595263
2024-02-10,61137669637
2024-02-11,61355146687
2024-02-12,61685397464
2024-02-13,61984622351
2024-02-14,62210771778
2024-02-15,62339522967
2024-02-16,62457751937
2024-02-17,62626418368
2024-02-18,62876546693
2024-02-19,63178516511
2024-02-20,63532401058
2024-02-21,63978738940
2024-02-22,64691132182
2024-02-23,65157065692
2024-02-24,65413402208
2024-02-25,65638512840
2024-02-26,65891917540
2024-02-27,66100170905
2024-02-28,66253862670
2024-02-29,66483079432
2024-03-01,66596514420
2024-03-02,66638003317
2024-03-03,66704174760
2024-03-04,66814160790
2024-03-05,66888614732
2024-03-06,66953366837
2024-03-07,67053424549
2024-03-08,67123047684
2024-03-09,67158827848
2024-03-10,67192906980
2024-03-11,67258464518
2024-03-12,67349580809
2024-03-13,67422184220
2024-03-14,67500113051
2024-03-15,67574018806
2024-03-16,67619078036
2024-03-17,67654136788
2024-03-18,67751604970
2024-03-19,67843113892
2024-03-20,69377264432
2024-03-21,78497919271
2024-03-22,78560041429
2024-03-23,78598188404
2024-03-24,78631353868
2024-03-25,78843684340
2024-03-26,78918924843
2024-03-27,78977721918
2024-03-28,79081126553
2024-03-29,79151330630
2024-03-30,79191879914
2024-03-31,79231207762
2024-04-01,79344066078
2024-04-02,79430877799
2024-04-03,79513987815
2024-04-04,79591956767
2024-04-05,79650794560
2024-04-06,79691159462
2024-04-07,79715672861
2024-04-08,79893512972
2024-04-09,79972312243
2024-04-10,80059877815
2024-04-11,80169537000
2024-04-12,80249732271
2024-04-13,80290411797
2024-04-14,80330091645
2024-04-15,80450439737
2024-04-16,80578951540
2024-04-17,80755438147
2024-04-18,80853585448
2024-04-19,80943006275
2024-04-20,81028190006
2024-04-21,81368483771
2024-04-22,82069220984
2024-04-23,83100383183
2024-04-24,84551350257
2024-04-25,88071738154
2024-04-26,94952238502
2024-04-27,110262672769
2024-04-28,122400346081
2024-04-29,141990240643
2024-04-30,175967833153
2024-05-01,218014554433
2024-05-02,264895062566
2024-05-03,332395373661
2024-05-04,432499851834
2024-05-05,541261945673
2024-05-06,614452605069
2024-05-07,656749515724
2024-05-08,697891396721
2024-05-09,741763990900
2024-05-10,788758215025
2024-05-11,835771152671
2024-05-12,882554389590
2024-05-13,933114328334
2024-05-14,992115382266
2024-05-15,1055558595134
2024-05-16,1120017639684
2024-05-17,1188041751391
2024-05-18,1258965018838
2024-05-19,1330570113849
2024-05-20,1403503585802
2024-05-21,1479832520285
2024-05-22,1561707542682
2024-05-23,1649366893270
2024-05-24,1739056859044
2024-05-25,1832769576127
2024-05-26,1930168930936
2024-05-27,2012778142196
2024-05-28,2095900987552
2024-05-29,2178916198269
2024-05-30,2255442551560
2024-05-31,2349531251715
2024-06-01,2432727419689
2024-06-02,2540253709022
2024-06-03,2647684933495
2024-06-04,2758368939422
2024-06-05,2842988322104
2024-06-06,2895758404027
2024-06-07,2952841746077
2024-06-08,2997919993000
2024-06-09,3036267766663
2024-06-10,3070047697119
2024-06-11,3108776953926
2024-06-12,3158823820591
2024-06-13,3230326481010
2024-06-14,3334650460199
2024-06-15,3406264558213
2024-06-16,3474348131051
2024-06-17,3519857082209
2024-06-18,3540406768457
2024-06-19,3558539877223
2024-06-20,3576743125647
2024-06-21,3594523782613
2024-06-22,3611410454047
2024-06-23,3627956620820
2024-06-24,3644330026142
